product_name,ratings,prices,Operating System,Warranty,picture_quality
"MOTOROLA Envision 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Bezel-Less Design, Google V...",4.2,"₹32,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,Operating System: Android
Gangnam Street 108 cm (43 inch) Full HD LED Smart Android Based TV,4.2,"₹12,999",Operating System: Android Based,Full HD 1920 x 1080 Pixels,Operating System: Android Based
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),4.4,"₹12,999",Operating System: Android,HD Ready 1366 x 768 Pixels,Operating System: Android
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,4.4,"₹13,999",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Operating System: WebOS
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,4.3,"₹13,999",Operating System: Android,HD Ready 1366 x 768 Pixels,Operating System: Android
realme 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,"₹11,999",Operating System: Android,HD Ready 1366 x 768 Pixels,Operating System: Android
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,4.2,"₹8,499",Operating System: Linux,HD Ready 1366 x 768 Pixels,Operating System: Linux
Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision IQ and 40W Dolby Atmos,4.3,"₹41,999",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Operating System: Google TV
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,4.4,"₹8,499",Operating System: Linux,HD Ready 1366 x 768 Pixels,Operating System: Linux
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design,4.4,"₹12,990",Operating System: Tizen,HD Ready 1366 x 768 Pixels,Operating System: Tizen
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...",4.1,"₹6,599",Operating System: Android Based,HD Ready 1366 x 768 Pixels,Operating System: Android Based
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,4.3,"₹32,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,Operating System: Android
TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less & Extra Brightness,4.1,"₹11,990",Operating System: Android,HD Ready 1366 x 768 Pixels,Operating System: Android
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,4.3,"₹8,499",Operating System: Coolita,HD Ready 1366 x768 Pixels,Operating System: Coolita
"acer I Series 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11, 1.5GB RAM (2022 Model)",4.3,"₹11,499",Operating System: Android,HD Ready 1366 x 768 Pixels,Operating System: Android
iFFALCON by TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel-Less design & 24W Speaker,4.2,"₹10,999",Operating System: Android,HD Ready 1366 x 768 Pixels,Operating System: Android
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,4.3,"₹26,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,Operating System: Android
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),4.4,"₹20,999",Operating System: Android,Full HD 1920 x 1080 Pixels,Operating System: Android
LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,4.4,"₹30,499",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Operating System: WebOS
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,4.3,"₹19,999",Operating System: Android,Full HD 1920 x 1080 Pixels,Operating System: Android
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),4.4,"₹23,999",Operating System: Android,Full HD 1920 x 1080 Pixels,Operating System: Android
Dyanora Sigma 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...,4.1,"₹7,999",Operating System: Linux,HD Ready 1366 x 768 Pixels,Operating System: Linux
OnePlus Y1S 101 cm (40 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,4.3,"₹21,999",Operating System: Android,Full HD 1920 x 1080 Pixels,Operating System: Android
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,4.4,"₹40,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,Operating System: Android
